name,density,surface tension,dynamic viscosity,kinematic viscosity
0.748,1191.984,0.075318,0.028881787,2.423E-05
0.75,1192.5,0.075325,0.028881787,2.42195E-05
0.752,1193.016,0.075332,0.028881787,2.42091E-05
0.754,1193.532,0.075339,0.028881787,2.41986E-05
0.756,1194.048,0.075346,0.028881787,2.41881E-05
0.758,1194.564,0.075353,0.028881787,2.41777E-05
0.76,1195.08,0.07536,0.028881787,2.41672E-05
0.762,1195.596,0.075367,0.028881787,2.41568E-05
0.764,1196.112,0.075374,0.028881787,2.41464E-05
0.766,1196.628,0.075381,0.028881787,2.4136E-05
0.768,1197.144,0.075388,0.028881787,2.41256E-05
0.77,1197.66,0.075395,0.028881787,2.41152E-05
0.772,1198.176,0.075402,0.028881787,2.41048E-05
0.774,1198.692,0.075409,0.028881787,2.40944E-05
0.776,1199.208,0.075416,0.028881787,2.40841E-05
0.778,1199.724,0.075423,0.028881787,2.40737E-05
0.78,1200.24,0.07543,0.028881787,2.40633E-05
0.782,1200.756,0.075437,0.028881787,2.4053E-05
0.784,1201.272,0.075444,0.028881787,2.40427E-05
0.786,1201.788,0.075451,0.028881787,2.40323E-05
0.788,1202.304,0.075458,0.028881787,2.4022E-05
0.79,1202.82,0.075465,0.028881787,2.40117E-05
0.792,1203.336,0.075472,0.028881787,2.40014E-05
0.794,1203.852,0.075479,0.028881787,2.39911E-05
0.796,1204.368,0.075486,0.028881787,2.39809E-05
0.798,1204.884,0.075493,0.028881787,2.39706E-05
0.8,1205.4,0.0755,0.028881787,2.39603E-05
0.802,1205.916,0.075507,0.028881787,2.39501E-05
0.804,1206.432,0.075514,0.028881787,2.39398E-05
0.806,1206.948,0.075521,0.028881787,2.39296E-05
0.808,1207.464,0.075528,0.028881787,2.39194E-05
0.81,1207.98,0.075535,0.028881787,2.39092E-05
0.812,1208.496,0.075542,0.028881787,2.3899E-05
0.814,1209.012,0.075549,0.028881787,2.38888E-05
0.816,1209.528,0.075556,0.028881787,2.38786E-05
0.818,1210.044,0.075563,0.028881787,2.38684E-05
0.82,1210.56,0.07557,0.028881787,2.38582E-05
0.822,1211.076,0.075577,0.028881787,2.3848E-05
0.824,1211.592,0.075584,0.028881787,2.38379E-05
0.826,1212.108,0.075591,0.028881787,2.38277E-05
0.828,1212.624,0.075598,0.028881787,2.38176E-05
0.83,1213.14,0.075605,0.028881787,2.38075E-05
0.832,1213.656,0.075612,0.028881787,2.37973E-05
0.834,1214.172,0.075619,0.028881787,2.37872E-05
0.836,1214.688,0.075626,0.028881787,2.37771E-05
0.838,1215.204,0.075633,0.028881787,2.3767E-05
0.84,1215.72,0.07564,0.028881787,2.37569E-05
0.842,1216.236,0.075647,0.028881787,2.37469E-05
0.844,1216.752,0.075654,0.028881787,2.37368E-05
0.846,1217.268,0.075661,0.028881787,2.37267E-05
0.848,1217.784,0.075668,0.028881787,2.37167E-05
0.85,1218.3,0.075675,0.028881787,2.37066E-05
0.852,1218.816,0.075682,0.028881787,2.36966E-05
0.854,1219.332,0.075689,0.028881787,2.36866E-05
0.856,1219.848,0.075696,0.028881787,2.36765E-05
