name,density,surface_tension,dynamic_viscosity,kinematic_viscosity
Bis(2-ethylhexyl)phthalate (BEHP)_0.26,994.06,0.061884,0.0028665,2.88E-06
1-3-Butanediol_0.25,999.75,0.0663,0.002885233,2.89E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.27,993.87,0.061468,0.002998396,3.02E-06
1-3-Butanediol_0.26,999.78,0.066044,0.003024214,3.02E-06
2-Butanol (sec-butanol),805,0.0226,0.0031,3.85E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.28,993.68,0.061052,0.003136361,3.16E-06
1-3-Butanediol_0.27,999.81,0.065788,0.00316989,3.17E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.29,993.49,0.060636,0.003280673,3.30E-06
1-3-Butanediol_0.28,999.84,0.065532,0.003322583,3.32E-06
Formamide (methanomide),1129,0.057,0.00334,2.96E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.3,993.3,0.06022,0.003431626,3.45E-06
1-3-Butanediol_0.29,999.87,0.065276,0.003482631,3.48E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.31,993.11,0.059804,0.003589525,3.61E-06
1-3-Butanediol_0.3,999.9,0.06502,0.003650388,3.65E-06
Bis(2-ethylhexyl)phthalate (BEHP)_0.32,992.92,0.059388,0.003754689,3.78E-06
1-3-Butanediol_0.31,999.93,0.064764,0.003826227,3.83E-06
Aniline,1018,0.0424,0.00385,3.78E-06
